BITOLA;PA12;PA13;PA22;PA23;PB12;PB13;PB22;PB23;PC2;PC3;PD2;PD3;XA12;XA13;XA22;XA23;XB12;XB13;XB22;XB23;XC2;XC3;XD2;XD3;PE2;PE3;PF2;PFT3;PF3;PGH3;PGV3;XE2;XE3;XF2;XFT3;XF3;XGH3;XGV3
0.5;7.0;7.0;7.0;7.0;9.0;8.0;9.0;8.0;10.0;9.0;12.0;10.0;10.0;9.0;10.0;9.0;12.0;10.0;11.0;10.0;12.0;11.0;14.0;12.0;11.0;9.0;11.0;8.0;9.0;12.0;10.0;13.0;12.0;13.0;10.0;10.0;15.0;12.0
0.75;9.0;9.0;9.0;9.0;11.0;10.0;11.0;10.0;13.0;11.0;15.0;12.0;12.0;11.0;12.0;11.0;15.0;13.0;15.0;13.0;16.0;14.0;18.0;15.0;14.0;12.0;14.0;11.0;11.0;16.0;13.0;17.0;15.0;17.0;13.0;14.0;19.0;16.0
1.0;11.0;10.0;11.0;10.0;14.0;12.0;13.0;12.0;15.0;14.0;18.0;15.0;15.0;13.0;14.0;13.0;18.0;16.0;17.0;15.0;19.0;17.0;21.0;17.0;17.0;14.0;17.0;13.0;14.0;19.0;16.0;21.0;18.0;21.0;16.0;17.0;23.0;19.0
1.5;14.5;13.5;14.0;13.0;17.5;15.5;16.5;15.0;19.5;17.5;22.0;18.0;19.0;17.0;18.5;16.5;23.0;20.0;22.0;19.5;24.0;22.0;26.0;22.0;22.0;18.5;22.0;17.0;18.0;24.0;21.0;26.0;23.0;27.0;21.0;22.0;30.0;25.0
2.5;19.5;18.0;18.5;17.5;24.0;21.0;23.0;20.0;27.0;24.0;29.0;24.0;26.0;23.0;25.0;22.0;31.0;28.0;30.0;26.0;33.0;30.0;34.0;29.0;30.0;25.0;31.0;24.0;25.0;34.0;29.0;36.0;32.0;37.0;29.0;30.0;41.0;35.0
4.0;26.0;24.0;25.0;23.0;32.0;28.0;30.0;27.0;36.0;32.0;38.0;31.0;35.0;31.0;33.0;30.0;42.0;37.0;40.0;35.0;45.0;40.0;44.0;37.0;40.0;34.0;41.0;33.0;34.0;45.0;39.0;49.0;42.0;50.0;40.0;42.0;56.0;48.0
6.0;34.0;31.0;32.0;29.0;41.0;36.0;38.0;34.0;46.0;41.0;47.0;39.0;45.0;40.0;42.0;38.0;54.0;48.0;51.0;44.0;58.0;52.0;56.0;46.0;51.0;43.0;53.0;43.0;45.0;59.0;51.0;63.0;54.0;65.0;53.0;55.0;73.0;63.0
10.0;46.0;42.0;43.0;39.0;57.0;50.0;52.0;46.0;63.0;57.0;63.0;52.0;61.0;54.0;57.0;51.0;75.0;66.0;69.0;60.0;80.0;71.0;73.0;61.0;70.0;60.0;73.0;60.0;63.0;81.0;71.0;86.0;75.0;90.0;74.0;77.0;101.0;88.0
16.0;61.0;56.0;57.0;52.0;76.0;68.0;69.0;62.0;85.0;76.0;81.0;67.0;81.0;73.0;76.0;68.0;100.0;88.0;91.0;80.0;107.0;96.0;95.0;79.0;94.0;80.0;99.0;82.0;85.0;110.0;97.0;115.0;100.0;121.0;101.0;105.0;137.0;120.0
25.0;80.0;73.0;75.0;68.0;101.0;89.0;90.0;80.0;112.0;96.0;104.0;86.0;106.0;95.0;99.0;89.0;133.0;117.0;119.0;105.0;138.0;119.0;121.0;101.0;119.0;101.0;131.0;110.0;114.0;146.0;130.0;149.0;127.0;161.0;135.0;141.0;182.0;161.0
35.0;99.0;89.0;92.0;83.0;125.0;110.0;111.0;99.0;138.0;119.0;125.0;103.0;131.0;117.0;121.0;109.0;164.0;144.0;146.0;128.0;171.0;147.0;146.0;122.0;148.0;126.0;162.0;137.0;143.0;181.0;162.0;185.0;158.0;200.0;169.0;176.0;226.0;201.0
50.0;119.0;108.0;110.0;99.0;151.0;134.0;133.0;118.0;168.0;144.0;148.0;122.0;158.0;141.0;145.0;130.0;198.0;175.0;175.0;154.0;209.0;179.0;173.0;144.0;180.0;153.0;196.0;167.0;174.0;219.0;197.0;225.0;192.0;242.0;207.0;216.0;275.0;246.0
70.0;151.0;136.0;139.0;125.0;192.0;171.0;168.0;149.0;213.0;184.0;183.0;151.0;200.0;179.0;183.0;164.0;253.0;222.0;221.0;194.0;269.0;229.0;213.0;178.0;232.0;196.0;251.0;216.0;225.0;281.0;254.0;289.0;246.0;310.0;268.0;279.0;353.0;318.0
95.0;182.0;164.0;167.0;150.0;232.0;207.0;201.0;179.0;258.0;223.0;216.0;179.0;241.0;216.0;220.0;197.0;306.0;269.0;265.0;233.0;328.0;278.0;252.0;211.0;282.0;238.0;304.0;264.0;275.0;341.0;311.0;352.0;298.0;377.0;328.0;342.0;430.0;389.0
120.0;210.0;188.0;192.0;172.0;269.0;239.0;232.0;206.0;299.0;259.0;246.0;203.0;278.0;249.0;253.0;227.0;354.0;312.0;305.0;268.0;382.0;322.0;287.0;240.0;328.0;276.0;352.0;308.0;321.0;396.0;362.0;410.0;346.0;437.0;383.0;400.0;500.0;454.0
150.0;240.0;216.0;219.0;196.0;309.0;275.0;265.0;236.0;344.0;299.0;278.0;230.0;318.0;285.0;290.0;259.0;407.0;358.0;349.0;307.0;441.0;371.0;324.0;271.0;379.0;319.0;406.0;356.0;372.0;456.0;419.0;473.0;399.0;504.0;444.0;464.0;577.0;527.0
185.0;273.0;245.0;248.0;223.0;353.0;314.0;300.0;268.0;392.0;341.0;312.0;258.0;362.0;324.0;329.0;295.0;464.0;408.0;395.0;348.0;506.0;424.0;363.0;304.0;434.0;364.0;463.0;409.0;427.0;521.0;480.0;542.0;456.0;575.0;510.0;533.0;661.0;605.0
240.0;321.0;286.0;291.0;261.0;415.0;370.0;351.0;313.0;461.0;403.0;361.0;297.0;424.0;380.0;386.0;346.0;546.0;481.0;462.0;407.0;599.0;500.0;419.0;351.0;514.0;430.0;546.0;485.0;507.0;615.0;569.0;641.0;538.0;679.0;607.0;634.0;781.0;719.0
300.0;367.0;328.0;334.0;298.0;477.0;426.0;401.0;358.0;530.0;464.0;408.0;336.0;486.0;435.0;442.0;396.0;628.0;553.0;529.0;465.0;693.0;576.0;474.0;396.0;593.0;497.0;629.0;561.0;587.0;709.0;659.0;741.0;621.0;783.0;703.0;736.0;902.0;833.0
400.0;438.0;390.0;398.0;355.0;571.0;510.0;477.0;425.0;634.0;557.0;478.0;394.0;579.0;519.0;527.0;472.0;751.0;661.0;628.0;552.0;835.0;692.0;555.0;464.0;715.0;597.0;754.0;656.0;689.0;852.0;795.0;892.0;745.0;940.0;823.0;868.0;1085.0;1008.0
500.0;502.0;447.0;456.0;406.0;656.0;587.0;545.0;486.0;729.0;642.0;540.0;445.0;664.0;595.0;604.0;541.0;864.0;760.0;718.0;631.0;966.0;797.0;627.0;525.0;826.0;689.0;868.0;749.0;789.0;982.0;920.0;1030.0;859.0;1083.0;946.0;998.0;1253.0;1169.0
630.0;578.0;514.0;526.0;467.0;758.0;678.0;626.0;559.0;843.0;743.0;614.0;506.0;765.0;685.0;696.0;623.0;998.0;879.0;825.0;725.0;1122.0;923.0;711.0;596.0;958.0;798.0;1005.0;855.0;905.0;1138.0;1070.0;1196.0;995.0;1254.0;1088.0;1151.0;1454.0;1362.0
800.0;669.0;593.0;609.0;540.0;881.0;788.0;723.0;645.0;978.0;865.0;700.0;577.0;885.0;792.0;805.0;721.0;1158.0;1020.0;952.0;837.0;1311.0;1074.0;811.0;679.0;1118.0;930.0;1169.0;971.0;1119.0;1325.0;1251.0;1396.0;1159.0;1460.0;1252.0;1328.0;1696.0;1595.0
1000.0;767.0;679.0;698.0;618.0;1012.0;906.0;827.0;738.0;1125.0;996.0;792.0;652.0;1014.0;908.0;923.0;826.0;1332.0;1173.0;1088.0;957.0;1515.0;1237.0;916.0;767.0;1292.0;1073.0;1346.0;1079.0;1296.0;1528.0;1448.0;1613.0;1336.0;1683.0;1420.0;1511.0;1958.0;1849.0
